Weather,Road_Type,Time_of_Day,Traffic_Density,Speed_Limit,Number_of_Vehicles,Driver_Alcohol,Accident_Severity,Road_Condition,Vehicle_Type,Driver_Age,Driver_Experience,Road_Light_Condition,Accident
Clear,Rural Road,Morning,2,80,4,0,Low,Dry,Car,66,52,Artificial Light,0
Clear,Highway,Morning,1,50,4,0,Low,Icy,Car,40,31,Daylight,1
Clear,Highway,Morning,1,60,4,1,Moderate,Wet,Car,66,45,Daylight,0
Foggy,City Road,Morning,2,195,10,0,Moderate,Dry,Car,57,28,Daylight,0
Clear,Highway,Afternoon,0,100,5,0,Low,Icy,Car,64,25,Artificial Light,0
Clear,City Road,Afternoon,1,100,4,0,Low,Wet,Car,42,41,Artificial Light,0
Rainy,Mountain Road,Afternoon,1,50,3,0,High,Icy,Car,67,13,Daylight,0
Clear,Highway,Afternoon,0,80,3,0,Moderate,Icy,Car,22,27,Daylight,0
Foggy,City Road,Night,2,60,4,1,Moderate,Icy,Car,64,45,Artificial Light,0
Foggy,Rural Road,Afternoon,2,60,2,0,Moderate,Wet,Car,59,39,No Light,1
Rainy,Highway,Evening,1,30,3,0,Moderate,Dry,Car,47,29,Artificial Light,1
Snowy,Highway,Night,1,30,3,0,High,Dry,Truck,32,44,Daylight,0
Rainy,Highway,Afternoon,2,100,3,0,Low,Icy,Truck,30,61,Daylight,1
Rainy,Rural Road,Afternoon,2,100,3,0,Low,Dry,Car,43,61,Daylight,0
Foggy,City Road,Evening,0,50,5,0,Moderate,Dry,Car,46,44,No Light,0
Rainy,City Road,Night,0,50,5,0,Low,Dry,Car,25,28,Artificial Light,0
Foggy,Highway,Afternoon,2,60,3,1,Low,Dry,Car,46,13,Daylight,0
Clear,Highway,Afternoon,2,50,4,1,Low,Under Construction,Car,32,63,Daylight,0
Foggy,Highway,Afternoon,1,80,5,0,Moderate,Dry,Car,40,44,Daylight,1
Clear,Highway,Afternoon,2,100,2,0,Moderate,Dry,Car,60,24,Artificial Light,1
Rainy,City Road,Morning,1,185,2,0,High,Icy,Motorcycle,46,41,Daylight,0
Clear,City Road,Afternoon,0,60,3,0,Low,Icy,Car,18,60,Artificial Light,0
Snowy,Highway,Night,1,120,1,0,Moderate,Dry,Car,60,37,Daylight,1
Rainy,City Road,Afternoon,0,100,5,1,Low,Dry,Truck,50,24,Daylight,0
Clear,Highway,Night,2,50,13,0,Low,Dry,Car,33,26,Daylight,0
Rainy,City Road,Afternoon,1,100,4,0,Low,Wet,Car,67,41,Artificial Light,0
Rainy,City Road,Afternoon,1,60,3,0,Moderate,Icy,Truck,52,49,Artificial Light,0
Clear,City Road,Night,2,50,1,0,Low,Dry,Truck,29,36,No Light,1
Clear,Highway,Evening,0,60,3,0,Moderate,Dry,Car,29,17,Daylight,0
Foggy,Highway,Night,1,60,3,0,Low,Dry,Motorcycle,65,59,Artificial Light,0
Foggy,Highway,Afternoon,2,120,5,0,Low,Icy,Motorcycle,52,32,No Light,1
Rainy,City Road,Afternoon,1,60,3,1,High,Dry,Truck,34,49,Daylight,0
Rainy,Highway,Morning,2,80,4,0,Low,Dry,Car,30,26,Daylight,0
Clear,Rural Road,Afternoon,2,60,4,1,Low,Dry,Car,67,21,Artificial Light,0
Clear,Highway,Night,1,50,2,0,Low,Dry,Car,19,27,Daylight,0
Rainy,Rural Road,Afternoon,1,80,2,0,Low,Wet,Car,42,55,Daylight,0
Clear,Highway,Afternoon,2,100,2,0,Low,Wet,Car,29,63,Daylight,0
Clear,City Road,Morning,2,60,5,0,Moderate,Wet,Truck,40,54,Daylight,0
Rainy,Highway,Evening,1,60,2,0,Low,Icy,Car,31,41,Artificial Light,0
Stormy,City Road,Morning,1,30,5,0,High,Dry,Motorcycle,58,40,Artificial Light,1
Foggy,Rural Road,Evening,0,60,5,0,High,Under Construction,Truck,54,60,Daylight,0
Clear,City Road,Evening,1,60,4,0,Moderate,Under Construction,Car,26,41,Artificial Light,0
Clear,City Road,Night,0,100,3,0,Low,Wet,Car,54,39,No Light,0
Clear,Highway,Afternoon,1,30,3,0,Low,Under Construction,Car,22,52,Artificial Light,1
Snowy,Highway,Evening,1,60,2,0,Moderate,Icy,Car,33,24,Daylight,1
Clear,Highway,Afternoon,1,60,5,0,Low,Icy,Motorcycle,46,66,Artificial Light,0
Rainy,City Road,Morning,0,50,2,0,High,Dry,Truck,50,19,No Light,1
Clear,Mountain Road,Evening,1,100,2,1,Low,Under Construction,Car,64,27,Daylight,0
Rainy,Highway,Afternoon,2,100,3,0,Low,Dry,Car,20,39,Daylight,1
Snowy,City Road,Morning,2,60,5,0,Low,Wet,Car,58,64,Daylight,0
Clear,Highway,Morning,0,50,4,1,Moderate,Icy,Car,32,62,Daylight,0
Clear,Highway,Evening,1,190,4,0,Low,Dry,Motorcycle,39,44,Artificial Light,0
Rainy,Highway,Afternoon,1,80,1,0,Low,Dry,Car,18,66,No Light,1
Stormy,Rural Road,Night,1,60,5,0,Moderate,Dry,Car,52,35,Artificial Light,0
Clear,Highway,Morning,1,100,1,0,Low,Wet,Motorcycle,57,31,Daylight,0
Rainy,City Road,Afternoon,2,100,4,0,High,Wet,Car,68,13,Artificial Light,0
Rainy,Highway,Night,1,50,1,0,Moderate,Wet,Bus,26,39,Daylight,0
Clear,Highway,Morning,0,80,2,0,Moderate,Dry,Car,24,60,Artificial Light,0
Foggy,Highway,Evening,0,50,5,0,Moderate,Dry,Car,48,34,Artificial Light,1
Rainy,Highway,Afternoon,0,100,3,1,Low,Dry,Truck,39,52,Daylight,1
Foggy,Highway,Evening,1,60,4,0,Low,Icy,Car,59,39,Daylight,1
Clear,City Road,Morning,2,50,3,0,Low,Dry,Truck,46,24,Daylight,1
Clear,Highway,Morning,0,100,3,0,High,Icy,Car,62,15,Daylight,0
Stormy,City Road,Morning,1,60,3,0,Low,Dry,Motorcycle,67,47,Artificial Light,1
Clear,Highway,Evening,1,80,1,0,Moderate,Wet,Car,53,60,Daylight,1
Stormy,Rural Road,Afternoon,1,50,2,0,Low,Wet,Car,67,35,Artificial Light,0
Rainy,Rural Road,Afternoon,1,100,3,0,Moderate,Icy,Car,34,53,Daylight,1
Clear,Highway,Evening,0,60,1,0,Moderate,Under Construction,Truck,68,22,Daylight,1
Clear,Highway,Evening,1,60,4,0,Low,Dry,Car,59,36,Daylight,0
Foggy,Highway,Evening,1,30,1,0,High,Dry,Car,19,43,Artificial Light,0
Foggy,Highway,Afternoon,0,30,3,0,Low,Dry,Car,55,19,No Light,0
Rainy,Highway,Afternoon,2,30,3,0,Low,Icy,Car,68,57,Daylight,0
Rainy,Highway,Evening,2,50,5,1,Moderate,Icy,Truck,38,15,Daylight,0
Stormy,Highway,Afternoon,1,30,2,0,Moderate,Dry,Car,58,19,Artificial Light,0
Clear,Highway,Evening,2,30,4,0,Low,Dry,Car,51,53,Artificial Light,0
Rainy,Highway,Morning,2,100,1,0,Moderate,Icy,Truck,34,25,Daylight,0
Rainy,Highway,Afternoon,1,30,2,0,High,Wet,Car,39,53,Artificial Light,0
Clear,City Road,Afternoon,0,30,5,1,Low,Dry,Car,69,25,Artificial Light,1
Clear,City Road,Morning,1,50,2,0,Low,Dry,Car,37,57,Artificial Light,0
Clear,Highway,Night,0,60,5,0,High,Dry,Car,59,37,Artificial Light,0
Clear,Highway,Evening,2,60,2,0,Low,Dry,Car,37,39,Artificial Light,1
Snowy,Highway,Afternoon,2,50,1,0,Low,Wet,Truck,40,18,Artificial Light,0
Clear,City Road,Night,2,50,4,0,Moderate,Wet,Car,66,55,Artificial Light,1
Rainy,Highway,Afternoon,1,80,5,0,Moderate,Wet,Car,58,35,Daylight,0
Rainy,Highway,Afternoon,1,60,5,1,Low,Dry,Car,54,44,Daylight,0
Foggy,City Road,Afternoon,2,80,2,0,Low,Wet,Truck,31,61,Artificial Light,0
Rainy,Highway,Evening,0,100,5,0,Low,Wet,Car,52,34,Artificial Light,0
Rainy,City Road,Morning,0,60,13,0,Moderate,Dry,Car,22,43,Daylight,0
Foggy,Highway,Afternoon,0,100,5,1,Moderate,Dry,Motorcycle,46,37,Daylight,0
Rainy,City Road,Evening,1,60,1,0,Moderate,Wet,Car,21,61,Daylight,0
Foggy,Highway,Afternoon,2,80,2,0,Moderate,Icy,Motorcycle,67,39,Daylight,0
Clear,Rural Road,Afternoon,0,50,1,0,Moderate,Icy,Car,67,44,Artificial Light,1
Clear,Highway,Afternoon,0,30,1,0,Low,Wet,Car,46,50,Daylight,0
Snowy,Highway,Evening,1,50,4,0,Low,Wet,Car,52,19,Artificial Light,0
Clear,Highway,Afternoon,1,80,2,0,Low,Wet,Car,40,41,Artificial Light,1
Clear,City Road,Evening,1,60,4,1,Moderate,Dry,Car,58,39,Daylight,0
Rainy,City Road,Afternoon,0,80,2,0,Low,Under Construction,Car,19,23,Daylight,0
Clear,City Road,Morning,1,60,5,0,Moderate,Icy,Car,32,24,Artificial Light,1
Snowy,Mountain Road,Night,1,60,5,0,Low,Dry,Car,25,23,No Light,0
Foggy,Highway,Evening,1,80,3,1,Low,Wet,Truck,39,61,Daylight,0
Clear,Highway,Evening,0,60,1,0,Low,Dry,Motorcycle,18,25,Artificial Light,0
Foggy,Highway,Morning,2,80,3,0,High,Icy,Car,30,23,No Light,0
Clear,Rural Road,Morning,0,60,5,0,Low,Dry,Motorcycle,48,57,Daylight,1
Stormy,Rural Road,Morning,1,50,11,0,Low,Dry,Bus,48,50,Artificial Light,0
Rainy,Highway,Afternoon,0,60,3,0,Low,Under Construction,Car,55,34,Daylight,0
Clear,Highway,Night,1,100,2,0,Moderate,Dry,Car,23,39,Artificial Light,0
Clear,Highway,Morning,2,60,5,0,Low,Icy,Car,67,31,Daylight,0
Clear,Highway,Evening,1,60,3,0,Low,Icy,Car,25,53,Artificial Light,1
Rainy,City Road,Afternoon,0,80,5,0,Low,Icy,Motorcycle,27,36,Artificial Light,1
Rainy,Highway,Morning,1,50,2,1,Low,Icy,Car,57,53,Daylight,0
Rainy,City Road,Afternoon,1,120,2,0,Moderate,Dry,Car,38,49,Daylight,1
Foggy,Highway,Evening,1,100,4,0,Moderate,Dry,Truck,65,29,Daylight,1
Snowy,City Road,Afternoon,1,60,3,0,Low,Dry,Truck,59,60,Daylight,0
Clear,Highway,Evening,2,50,2,0,Low,Dry,Car,21,45,Daylight,0
Clear,City Road,Night,2,80,2,1,Low,Dry,Car,36,33,Artificial Light,0
Snowy,Rural Road,Evening,2,120,1,0,Moderate,Wet,Truck,37,47,Artificial Light,0
Clear,Highway,Afternoon,1,60,4,0,Low,Under Construction,Car,43,31,Daylight,0
Clear,Highway,Night,0,60,2,1,High,Wet,Car,38,30,Artificial Light,1
Clear,City Road,Afternoon,1,100,5,0,Low,Dry,Car,25,25,No Light,0
Rainy,Highway,Night,0,100,5,0,High,Under Construction,Car,39,49,Artificial Light,0
Rainy,Highway,Night,2,60,3,0,Moderate,Icy,Motorcycle,21,54,Artificial Light,0
Clear,City Road,Morning,2,30,2,0,Moderate,Icy,Motorcycle,32,37,Daylight,0
Rainy,Mountain Road,Night,0,208,4,0,Moderate,Dry,Car,36,41,Artificial Light,0
Foggy,Mountain Road,Afternoon,2,60,2,0,Low,Icy,Car,67,41,Artificial Light,0
Clear,Rural Road,Afternoon,1,100,1,0,High,Wet,Truck,37,26,Daylight,0
Stormy,Mountain Road,Afternoon,1,100,3,0,Moderate,Under Construction,Car,19,25,Daylight,1
Rainy,City Road,Night,0,30,1,0,Moderate,Dry,Bus,43,33,No Light,1
Foggy,Rural Road,Evening,1,60,3,0,Low,Under Construction,Truck,27,30,Artificial Light,0
Clear,Highway,Morning,1,80,2,0,Low,Dry,Car,68,34,Artificial Light,0
Clear,Highway,Afternoon,1,30,3,0,Moderate,Wet,Motorcycle,32,55,No Light,1
Foggy,Highway,Morning,1,50,5,0,High,Dry,Truck,39,17,Daylight,0
Clear,City Road,Evening,1,100,5,0,Low,Dry,Car,69,32,Artificial Light,0
Rainy,Highway,Night,2,80,1,0,Moderate,Wet,Car,34,29,Artificial Light,1
Clear,Highway,Evening,2,30,1,0,Low,Dry,Car,54,53,Artificial Light,0
Rainy,City Road,Afternoon,1,60,3,1,High,Wet,Car,27,57,Daylight,0
Rainy,Highway,Evening,1,30,4,1,Moderate,Icy,Car,67,24,Artificial Light,1
Rainy,City Road,Afternoon,2,80,3,0,Low,Wet,Truck,41,64,Artificial Light,0
Rainy,Highway,Morning,0,50,1,0,Low,Dry,Car,54,45,Daylight,0
Snowy,City Road,Afternoon,0,30,5,1,Moderate,Dry,Car,65,57,Daylight,0
Clear,City Road,Evening,0,80,4,1,Low,Icy,Car,25,34,Daylight,1
Stormy,Highway,Morning,1,100,5,0,Low,Wet,Bus,24,38,Artificial Light,0
Clear,Highway,Afternoon,1,60,5,0,Low,Dry,Car,45,30,Daylight,0
Rainy,Highway,Morning,0,100,1,0,Low,Icy,Car,27,60,Artificial Light,0
Clear,Highway,Night,0,120,5,0,High,Dry,Car,22,27,Artificial Light,1
Clear,Highway,Afternoon,2,60,3,0,Low,Dry,Truck,42,33,Artificial Light,1
Rainy,Rural Road,Evening,2,50,2,0,Moderate,Dry,Car,37,14,Artificial Light,1
Clear,City Road,Afternoon,0,120,2,0,Moderate,Wet,Car,38,40,No Light,0
Clear,City Road,Morning,0,80,1,0,Low,Icy,Truck,68,47,Artificial Light,1
Foggy,Rural Road,Night,1,100,5,0,Low,Dry,Car,42,18,Artificial Light,1
Foggy,Mountain Road,Night,1,100,5,0,Low,Dry,Car,31,44,Artificial Light,1
Clear,Highway,Morning,2,50,1,0,Low,Dry,Car,20,18,Artificial Light,0
Rainy,Highway,Evening,1,50,3,1,Low,Dry,Car,65,36,Artificial Light,0
Clear,Highway,Morning,1,60,2,0,Moderate,Icy,Motorcycle,65,29,Artificial Light,1
Rainy,Highway,Evening,1,120,4,0,Low,Dry,Car,68,57,Artificial Light,1
Snowy,City Road,Morning,0,100,5,1,Moderate,Icy,Car,31,24,Daylight,1
Snowy,City Road,Night,0,50,4,0,Low,Dry,Car,40,63,Daylight,0
Rainy,City Road,Night,1,100,5,0,Low,Under Construction,Car,50,63,Daylight,1
Snowy,Highway,Morning,1,50,1,0,Low,Under Construction,Car,19,23,No Light,0
Clear,Rural Road,Morning,2,80,4,0,Low,Icy,Car,32,34,Artificial Light,0
Rainy,Mountain Road,Evening,1,80,1,0,Low,Dry,Motorcycle,46,44,Daylight,1
Rainy,City Road,Afternoon,0,60,5,0,Low,Under Construction,Car,63,24,Daylight,0
Rainy,Highway,Morning,0,80,5,0,Low,Dry,Car,45,23,Artificial Light,0
Clear,Highway,Afternoon,1,80,4,0,Moderate,Dry,Car,35,17,Artificial Light,1
Rainy,Highway,Afternoon,0,100,4,0,Low,Dry,Car,34,39,Daylight,0
Rainy,Rural Road,Night,0,100,5,0,Low,Under Construction,Car,48,59,Artificial Light,1
Clear,Highway,Evening,0,100,2,0,Low,Wet,Car,57,54,Artificial Light,1
Clear,Highway,Afternoon,0,30,4,0,Low,Dry,Car,67,27,Daylight,0
Clear,City Road,Night,2,100,4,0,Low,Dry,Car,22,55,Daylight,0
Clear,Rural Road,Night,1,60,1,0,Low,Wet,Car,52,42,Daylight,0
Rainy,Rural Road,Night,2,80,2,0,Low,Dry,Car,27,27,Artificial Light,0
Clear,City Road,Afternoon,1,30,2,0,Moderate,Dry,Car,34,44,Artificial Light,0
Foggy,Highway,Afternoon,2,100,4,0,Low,Under Construction,Car,33,50,Daylight,0
Clear,Highway,Evening,0,100,5,0,Low,Icy,Car,62,57,Artificial Light,0
Stormy,City Road,Evening,2,60,2,1,Moderate,Wet,Car,52,23,Artificial Light,1
Clear,Highway,Morning,1,30,5,0,Low,Dry,Car,28,31,Artificial Light,1
Rainy,Rural Road,Evening,0,50,3,1,Moderate,Wet,Car,52,12,Artificial Light,1
Clear,City Road,Evening,1,60,4,0,Low,Icy,Car,39,28,Daylight,0
Rainy,Highway,Morning,0,30,1,1,Moderate,Dry,Car,39,60,Artificial Light,0
Rainy,City Road,Afternoon,1,50,1,0,Low,Wet,Car,28,29,Artificial Light,1
Clear,Mountain Road,Evening,0,120,4,0,Moderate,Wet,Motorcycle,52,17,Daylight,0
Snowy,City Road,Morning,0,50,5,1,Low,Dry,Car,65,26,Artificial Light,0
Foggy,Highway,Night,1,80,1,0,Low,Icy,Car,59,52,Daylight,0
Foggy,City Road,Afternoon,0,50,4,1,Moderate,Icy,Car,19,25,Daylight,1
Clear,Rural Road,Afternoon,1,60,2,0,Moderate,Under Construction,Car,24,54,Artificial Light,0
Clear,Highway,Afternoon,1,60,3,0,Moderate,Icy,Truck,18,42,Artificial Light,0
Foggy,Highway,Night,2,50,1,1,Low,Dry,Car,29,53,Daylight,1
Foggy,City Road,Evening,2,80,3,0,Low,Dry,Motorcycle,50,13,Artificial Light,0
Stormy,Highway,Morning,0,50,2,0,Low,Dry,Bus,58,62,Artificial Light,0
Foggy,Highway,Afternoon,2,60,2,1,Moderate,Under Construction,Car,55,17,Artificial Light,0
Snowy,Rural Road,Night,0,50,5,1,Low,Dry,Motorcycle,36,10,Daylight,0
Rainy,City Road,Afternoon,2,50,3,0,High,Dry,Car,50,17,Artificial Light,0
Clear,Highway,Night,2,60,3,0,Moderate,Dry,Car,20,61,Daylight,0
Rainy,Highway,Morning,0,50,1,0,High,Under Construction,Motorcycle,33,41,Artificial Light,0
Rainy,Rural Road,Night,0,100,1,0,High,Dry,Truck,65,25,Artificial Light,0
Clear,Rural Road,Night,0,80,2,1,Low,Under Construction,Car,42,21,Daylight,1
Foggy,Highway,Night,2,80,3,0,Moderate,Dry,Car,59,62,No Light,1
Foggy,Highway,Afternoon,1,60,5,1,Low,Wet,Car,62,39,Artificial Light,0
Foggy,Highway,Afternoon,0,60,4,0,Low,Dry,Truck,46,40,Artificial Light,0
Clear,Highway,Evening,0,80,1,0,Moderate,Dry,Car,69,36,Daylight,1
Clear,City Road,Afternoon,1,60,3,0,Low,Dry,Truck,33,13,Artificial Light,0
Clear,Highway,Evening,2,60,2,0,Low,Icy,Motorcycle,19,41,No Light,0
Clear,City Road,Afternoon,1,50,4,0,Low,Dry,Car,19,56,Artificial Light,0
Clear,Highway,Afternoon,2,30,3,1,Low,Dry,Car,69,26,Artificial Light,0
Clear,City Road,Evening,1,50,3,1,Low,Dry,Car,20,52,Daylight,0
Snowy,Highway,Night,2,60,3,1,Moderate,Wet,Car,68,41,Daylight,0
Rainy,Highway,Night,1,50,2,0,Moderate,Dry,Car,22,25,Daylight,0
Clear,Rural Road,Morning,0,30,5,1,Low,Dry,Car,49,60,Artificial Light,1
Clear,Highway,Afternoon,1,50,5,0,Low,Dry,Motorcycle,24,62,Artificial Light,1
Rainy,Highway,Evening,2,60,1,0,Moderate,Under Construction,Bus,32,47,Daylight,0
Snowy,Highway,Afternoon,2,100,4,0,Low,Dry,Car,66,54,Artificial Light,0
Clear,Highway,Evening,1,80,3,0,Moderate,Dry,Car,42,29,Artificial Light,1
Snowy,Highway,Afternoon,1,80,1,0,Moderate,Icy,Car,65,33,Daylight,1
Clear,Rural Road,Night,2,60,5,0,Low,Dry,Bus,69,41,Artificial Light,1
Rainy,Highway,Afternoon,0,100,3,0,Low,Dry,Car,24,17,Artificial Light,1
Rainy,Highway,Evening,1,192,4,0,High,Under Construction,Car,46,30,Artificial Light,1
Clear,City Road,Evening,1,50,5,0,Low,Dry,Car,48,17,Artificial Light,0
Clear,Highway,Evening,2,50,2,0,Low,Dry,Car,34,39,Artificial Light,0
Clear,City Road,Evening,2,80,2,0,Moderate,Dry,Car,42,23,Artificial Light,1
Rainy,Highway,Morning,1,50,1,0,Moderate,Dry,Car,52,43,Artificial Light,1
Rainy,Rural Road,Evening,1,60,4,0,Low,Dry,Car,64,62,Artificial Light,1
Clear,Highway,Evening,1,50,1,0,Low,Dry,Car,44,29,Daylight,1
Clear,City Road,Afternoon,2,100,4,0,Moderate,Wet,Truck,67,25,Daylight,0
Stormy,City Road,Afternoon,2,50,4,0,Moderate,Wet,Car,43,53,Artificial Light,0
Clear,City Road,Night,1,30,5,0,Low,Dry,Car,26,23,Artificial Light,0
Rainy,Mountain Road,Night,2,100,4,0,Low,Dry,Car,27,24,Artificial Light,0
Rainy,Highway,Afternoon,2,60,2,0,Low,Under Construction,Car,32,28,Daylight,0
Snowy,Highway,Afternoon,0,80,5,1,High,Icy,Car,52,34,Artificial Light,1
Clear,Rural Road,Afternoon,2,100,5,0,Low,Dry,Car,34,43,Artificial Light,1
Foggy,Highway,Evening,2,100,1,0,Moderate,Icy,Car,64,9,Daylight,0
Rainy,Highway,Evening,2,30,4,1,Moderate,Dry,Car,29,60,No Light,0
Clear,Highway,Afternoon,2,60,4,0,Moderate,Dry,Car,30,17,Artificial Light,0
Clear,Highway,Evening,1,120,4,0,Moderate,Wet,Car,43,39,Daylight,0
Clear,Highway,Evening,2,50,2,0,Moderate,Icy,Car,67,24,Daylight,0
Clear,Highway,Afternoon,0,80,2,1,Low,Icy,Car,58,53,Artificial Light,0
Foggy,Rural Road,Evening,2,120,3,1,Low,Wet,Truck,18,33,Daylight,0
Foggy,Highway,Afternoon,2,50,5,0,Low,Under Construction,Car,29,33,Daylight,0
Clear,Rural Road,Morning,2,80,1,0,Low,Icy,Motorcycle,30,36,Daylight,0
Clear,City Road,Morning,0,120,1,0,Low,Icy,Car,24,22,Daylight,1
Stormy,City Road,Morning,2,80,5,1,High,Dry,Car,22,18,Daylight,0
Clear,Highway,Evening,2,30,1,1,Low,Dry,Car,43,38,Daylight,0
Clear,Highway,Afternoon,0,60,4,0,High,Wet,Bus,67,47,Daylight,1
Clear,Highway,Afternoon,0,60,5,0,Low,Wet,Car,68,11,Artificial Light,1
Clear,Highway,Morning,2,80,2,1,Moderate,Wet,Car,33,30,No Light,1
Clear,City Road,Afternoon,0,80,1,0,Low,Dry,Truck,56,18,Artificial Light,1
Clear,Highway,Evening,2,60,4,0,Moderate,Dry,Truck,35,35,Artificial Light,1
Stormy,City Road,Afternoon,1,50,4,0,Moderate,Under Construction,Motorcycle,64,31,Artificial Light,0
Clear,City Road,Evening,2,213,11,1,Low,Under Construction,Car,38,26,Artificial Light,0
Snowy,Rural Road,Morning,2,200,4,1,Low,Wet,Car,54,36,Artificial Light,0
Rainy,City Road,Morning,1,50,2,0,Moderate,Dry,Car,53,31,Artificial Light,1
Foggy,City Road,Afternoon,1,60,3,0,Moderate,Wet,Car,67,24,Artificial Light,0
Clear,City Road,Morning,1,60,2,0,Moderate,Dry,Car,41,27,Artificial Light,0
Snowy,Rural Road,Morning,1,60,5,0,Low,Dry,Car,21,59,Artificial Light,0
Clear,Highway,Morning,1,80,1,1,Low,Dry,Car,46,51,Artificial Light,0
Foggy,City Road,Morning,2,30,4,1,Low,Under Construction,Car,53,13,Daylight,0
Clear,Highway,Night,1,120,2,1,Moderate,Dry,Car,43,19,Artificial Light,1
Rainy,Highway,Morning,0,60,5,0,Low,Dry,Motorcycle,50,57,No Light,0
Clear,Rural Road,Afternoon,0,60,2,0,Low,Dry,Car,36,44,Artificial Light,0
Clear,City Road,Morning,0,60,1,0,Moderate,Dry,Motorcycle,18,50,Artificial Light,0
Rainy,City Road,Morning,1,100,1,0,Low,Dry,Car,24,28,No Light,0
Clear,Mountain Road,Evening,0,60,5,0,Low,Icy,Truck,30,15,Artificial Light,1
Clear,City Road,Afternoon,1,80,3,0,Low,Dry,Car,41,36,Artificial Light,0
Rainy,Highway,Afternoon,1,30,3,0,Low,Dry,Car,69,65,Daylight,0
Foggy,City Road,Evening,2,30,2,0,Low,Wet,Car,29,53,Daylight,0
Clear,Highway,Afternoon,1,60,2,0,Low,Icy,Motorcycle,48,55,Artificial Light,0
Snowy,Highway,Morning,1,60,3,0,High,Wet,Truck,64,66,Artificial Light,1
Clear,Rural Road,Afternoon,0,80,3,0,Low,Under Construction,Car,49,35,Artificial Light,0
Foggy,Rural Road,Afternoon,0,80,5,0,Low,Icy,Car,18,9,Artificial Light,0
Foggy,Highway,Evening,0,60,1,0,High,Dry,Car,31,34,Artificial Light,0
Foggy,Highway,Afternoon,0,80,3,0,High,Under Construction,Motorcycle,63,37,No Light,0
Clear,City Road,Night,1,60,4,0,Low,Wet,Car,29,39,Artificial Light,1
Rainy,Highway,Morning,2,50,1,0,Low,Icy,Motorcycle,48,57,Daylight,0
Foggy,City Road,Afternoon,1,60,1,0,Low,Icy,Car,27,20,Artificial Light,0
Foggy,Highway,Evening,2,50,4,0,Low,Dry,Motorcycle,25,55,Daylight,0
Clear,City Road,Afternoon,2,60,2,0,Low,Icy,Car,52,55,Daylight,0
Foggy,Rural Road,Morning,2,50,1,0,Low,Dry,Truck,46,36,Daylight,1
Snowy,City Road,Night,1,80,14,0,Low,Under Construction,Truck,23,37,Daylight,0
Foggy,Highway,Evening,1,60,3,0,Low,Dry,Car,43,52,Artificial Light,0
Clear,City Road,Night,1,80,3,0,Low,Under Construction,Car,45,25,Daylight,0
Clear,Highway,Evening,1,60,2,0,Low,Under Construction,Car,59,55,Artificial Light,0
Clear,Rural Road,Afternoon,0,60,1,1,Low,Dry,Car,44,38,Artificial Light,0
Clear,Highway,Evening,0,50,4,0,Moderate,Wet,Truck,48,15,Artificial Light,0
Rainy,Mountain Road,Morning,2,30,5,0,Low,Icy,Car,35,61,Daylight,1
Stormy,Highway,Morning,0,30,1,0,Low,Icy,Car,39,54,Artificial Light,0
Stormy,Highway,Afternoon,1,100,1,1,Low,Under Construction,Truck,65,55,Artificial Light,0
Rainy,Highway,Afternoon,1,50,3,0,Low,Dry,Car,20,18,Artificial Light,0
Stormy,Highway,Afternoon,0,50,4,1,Low,Dry,Car,25,26,Artificial Light,0
Clear,Highway,Night,0,50,3,1,Moderate,Icy,Car,24,38,Daylight,0
Clear,Highway,Afternoon,0,100,5,0,Low,Icy,Car,43,17,Artificial Light,1
Rainy,Highway,Afternoon,1,80,1,0,Moderate,Dry,Motorcycle,23,21,Daylight,0
Clear,Highway,Morning,2,80,3,0,Low,Under Construction,Car,53,32,Daylight,0
Rainy,Mountain Road,Morning,2,60,5,1,Moderate,Icy,Car,58,18,Daylight,0
Rainy,Highway,Afternoon,0,80,4,0,Moderate,Dry,Motorcycle,65,25,Daylight,1
Foggy,Highway,Morning,2,80,4,1,Low,Dry,Car,35,54,Artificial Light,1
Clear,Highway,Night,2,80,2,0,Moderate,Wet,Motorcycle,36,18,Daylight,1
Stormy,City Road,Morning,1,30,3,0,Low,Dry,Car,67,48,Daylight,0
Rainy,Highway,Night,2,50,1,0,Low,Wet,Car,32,65,Daylight,0
Clear,Highway,Afternoon,1,30,1,0,Low,Icy,Car,31,52,Daylight,1
Clear,Rural Road,Afternoon,2,80,3,1,Moderate,Wet,Car,35,18,Daylight,0
Foggy,City Road,Morning,1,30,5,1,Low,Wet,Car,45,21,Artificial Light,0
Rainy,Rural Road,Afternoon,0,50,1,0,Low,Dry,Car,25,40,No Light,0
Clear,Highway,Night,0,30,1,0,Moderate,Dry,Car,40,45,Daylight,1
Rainy,Highway,Morning,1,100,1,0,Low,Under Construction,Truck,50,48,Artificial Light,0
Foggy,Rural Road,Afternoon,1,60,4,0,Low,Under Construction,Car,30,49,Daylight,0
Rainy,Highway,Afternoon,0,30,1,0,Low,Wet,Car,27,22,Artificial Light,0
Snowy,Highway,Night,1,100,2,0,Low,Dry,Car,19,12,Daylight,0
Clear,Highway,Afternoon,2,80,4,0,Moderate,Dry,Truck,20,64,Daylight,1
Clear,City Road,Evening,2,60,5,0,Low,Icy,Truck,44,22,Daylight,0
Clear,Highway,Afternoon,2,100,1,0,Low,Dry,Car,64,23,Daylight,1
Clear,City Road,Evening,1,60,14,0,Low,Wet,Car,25,26,Artificial Light,1
